time,stock,vwap
8:00:00,AABA,65.82
8:00:00,AAPL,161.8
8:00:00,ABB,19.14
8:00:00,ACIU,5.44
8:00:00,ADP,137.47
8:00:00,AGN,142.81
8:00:00,AGNC,17.96
8:00:00,AKS,2.78
8:00:00,ALGN,207.93
8:00:00,ALT,3.14
8:00:00,AMAT,38.68
8:00:00,AMD,21.07
8:00:00,AMGN,187.68
8:00:00,AMZN,1620.01
8:00:00,ANTM,292.01
8:00:00,ARLO,7.12
8:00:00,ATTU,24.72
8:00:00,AU,13.74
8:00:00,AUO,3.99
8:00:00,AVCO,6.07
8:00:00,AVP,1.87
8:00:00,AWSM,2.74
8:00:00,AXSM,8.3
8:00:00,BA,386.75
8:00:00,BABA,160.41
8:00:00,BAC,29.45
8:00:00,BAK,28.01
8:00:00,BGR,11.58
8:00:00,BIDU,167.31
8:00:00,BIIB,322.38
8:00:00,BILI,18.06
8:00:00,BNCL,15.34
8:00:00,BP,40.45
8:00:00,BRK.B,203.94
8:00:00,BRZU,37.84
8:00:00,BTI,34.08
8:00:00,BTX,1.57
8:00:00,BZUN,34.52
8:00:00,CANF,1.31
8:00:00,CARS,26.86
8:00:00,CBS,50.36
8:00:00,CCL,57.23
8:00:00,CETV,3.05
8:00:00,CFFN,13.12
8:00:00,CGC,47.5
8:00:00,CGIX,0.26
8:00:00,CHKP,111.58
8:00:00,CIEN,38.51
8:00:00,CLF,9.75
8:00:00,CLNC,15.31
8:00:00,CMCSA,35.9
8:00:00,CNI,83.33
8:00:00,CODX,2.59
8:00:00,COHR,114.31
8:00:00,COLM,88.24
8:00:00,CONN,20.75
8:00:00,CRMD,1.83
8:00:00,CRON,18.12
8:00:00,CSCO,45.8
8:00:00,CUK,56.64
8:00:00,CZR,8.87
8:00:00,DFS,67.22
8:00:00,DGAZ,89.56
8:00:00,DIA,247.95
8:00:00,DIS,109.26
8:00:00,DISCA,27.25
8:00:00,DQ,34.06
8:00:00,DUST,20.0
8:00:00,DWT,9.35
8:00:00,EBAY,33.64
8:00:00,EDC,77.44
8:00:00,EEM,42.18
8:00:00,EGHT,17.65
8:00:00,EKSO,2.17
8:00:00,ENVA,21.99
8:00:00,ERJ,21.15
8:00:00,ETN,70.64
8:00:00,EWY,64.03
8:00:00,EWZ,44.3
8:00:00,EXAS,85.94
8:00:00,EYEN,4.17
8:00:00,F,8.69
8:00:00,FB,145.73
8:00:00,FHB,26.29
8:00:00,FRSX,2.03
8:00:00,FSS,19.4
8:00:00,GD,181.75
8:00:00,GDEN,18.1
8:00:00,GDX,21.92
8:00:00,GDXJ,31.81
8:00:00,GE,8.97
8:00:00,GOGL,4.95
8:00:00,GOOG,1067.62
8:00:00,GOOGL,1078.02
8:00:00,GPOR,8.46
8:00:00,GS,201.02
8:00:00,HEAR,14.53
8:00:00,HFC,54.16
8:00:00,HMNY,0.01
8:00:00,HPQ,21.98
8:00:00,HUYA,20.31
8:00:00,HXL,67.94
8:00:00,IBB,107.07
