time,stock,vwap
9:00:00,AFIN,12.88
9:00:00,AFL,47.14
9:00:00,AFSI-B,7.79
9:00:00,AFSI-F,7.53
9:00:00,AFSS,14.0
9:00:00,AG,5.72
9:00:00,AGCO,63.33
9:00:00,AGE,4.05
9:00:00,AGEN,3.34
9:00:00,AGFS,3.96
9:00:00,AGG,106.86
9:00:00,AGI,4.35
9:00:00,AGIO,50.59
9:00:00,AGLE,8.65
9:00:00,AGM,71.58
9:00:00,AGN,142.61
9:00:00,AGNC,17.97
9:00:00,AGR,48.73
9:00:00,AGS,24.58
9:00:00,AGX,42.38
9:00:00,AGYS,17.77
9:00:00,AHC,3.92
9:00:00,AHPI,1.98
9:00:00,AHT,4.8
9:00:00,AHT-I,21.16
9:00:00,AI,8.57
9:00:00,AIG,42.31
9:00:00,AIG+,6.9
9:00:00,AIMC,29.32
9:00:00,AIMT,21.93
9:00:00,AIN,68.01
9:00:00,AINC,65.35
9:00:00,AINV,14.74
9:00:00,AIPT,1.01
9:00:00,AIR,36.49
9:00:00,AIT,58.32
9:00:00,AIV,49.23
9:00:00,AIZ,95.07
9:00:00,AJG,72.04
9:00:00,AJRD,38.67
9:00:00,AKAM,64.25
9:00:00,AKAO,1.68
9:00:00,AKBA,5.44
9:00:00,AKG,0.75
9:00:00,AKR,27.95
9:00:00,AKRX,4.15
9:00:00,AKS,2.71
9:00:00,AKTS,7.29
9:00:00,AL,37.35
9:00:00,ALB,79.01
9:00:00,ALDR,12.22
9:00:00,ALDX,8.53
9:00:00,ALE,74.82
9:00:00,ALG,87.24
9:00:00,ALGN,216.37
9:00:00,ALGT,125.21
9:00:00,ALK,64.26
9:00:00,ALKS,32.54
9:00:00,ALL,86.67
9:00:00,ALLE,84.89
9:00:00,ALLK,39.7
9:00:00,ALLO,30.43
9:00:00,ALLT,6.77
9:00:00,ALLY,26.48
9:00:00,ALNA,7.52
9:00:00,ALNY,78.37
9:00:00,ALOT,19.98
9:00:00,ALQA,2.49
9:00:00,ALRM,62.54
9:00:00,ALSN,48.71
9:00:00,ALT,2.97
9:00:00,ALTM,8.4
9:00:00,ALTR,30.81
9:00:00,ALV,76.56
9:00:00,ALX,329.88
9:00:00,ALXN,119.2
9:00:00,AM,25.91
9:00:00,AMAG,15.4
9:00:00,AMAL,18.8
9:00:00,AMAT,38.84
9:00:00,AMBA,37.63
9:00:00,AMBC,18.54
9:00:00,AMC,14.04
9:00:00,AMCN,0.55
9:00:00,AMCX,61.58
9:00:00,AMD,21.98
9:00:00,AME,71.72
9:00:00,AMED,128.26
9:00:00,AMG,105.23
9:00:00,AMGN,186.61
9:00:00,AMGP,13.68
9:00:00,AMH,22.06
9:00:00,AMJ,25.05
9:00:00,AMKR,7.89
9:00:00,AMLP,9.86
9:00:00,AMN,64.32
9:00:00,AMNB,32.84
9:00:00,AMOT,41.47
9:00:00,AMP,118.82
9:00:00,AMPH,21.97
9:00:00,AMR,1.01
9:00:00,AMRC,14.89
9:00:00,AMRN,16.75
9:00:00,AMRS,2.76
9:00:00,AMRX,12.13
9:00:00,AMSC,12.74
9:00:00,AMSF,59.06
9:00:00,AMSWA,11.1
9:00:00,AMT,170.09
9:00:00,AMTB,13.69
9:00:00,AMTD,55.19
9:00:00,AMWD,66.69
9:00:00,AMX,15.78
9:00:00,AMZA,5.84
9:00:00,AMZN,1634.79
9:00:00,AN,36.94
9:00:00,ANAB,61.97
9:00:00,ANAT,137.45
9:00:00,ANCX,24.15
9:00:00,ANDE,34.22
9:00:00,ANDX,35.77
9:00:00,ANET,207.99
9:00:00,ANF,21.41
9:00:00,ANFI,0.88
9:00:00,ANGI,16.05
9:00:00,ANGL,27.9
9:00:00,ANGO,20.76
9:00:00,ANH,4.46
9:00:00,ANIK,37.34
9:00:00,ANIX,5.28
9:00:00,ANSS,160.41
9:00:00,ANTM,298.87
9:00:00,ANY,2.7
9:00:00,AOBC,11.84
9:00:00,AON,152.76
9:00:00,AOR,42.85
9:00:00,AOS,46.98
9:00:00,AOSL,11.75
9:00:00,AP,3.7
9:00:00,APA,33.13
9:00:00,APAM,22.4
9:00:00,APC,46.97
9:00:00,APD,164.04
9:00:00,APDN,0.46
9:00:00,APEI,29.65
9:00:00,APEN,3.54
9:00:00,APH,86.42
9:00:00,APHA,7.35
9:00:00,APLE,16.0
9:00:00,APLS,13.12
9:00:00,APM,13.86
9:00:00,APO,27.67
9:00:00,APOG,33.56
9:00:00,APOP,2.33
9:00:00,APPF,60.01
9:00:00,APPN,31.58
9:00:00,APRN,1.48
9:00:00,APTV,72.25
9:00:00,APTX,5.35
9:00:00,APU,30.02
9:00:00,APY,33.7
9:00:00,APYX,8.81
9:00:00,AQ,8.7
9:00:00,AQB,2.2
9:00:00,AQMS,2.2
9:00:00,AQST,7.36
9:00:00,AQUA,10.24
9:00:00,AR,10.32
9:00:00,ARAV,3.66
9:00:00,ARAY,4.43
9:00:00,ARC,2.22
9:00:00,ARCB,39.97
9:00:00,ARCC,16.09
9:00:00,ARCH,85.55
9:00:00,ARCI,0.46
9:00:00,ARCO,8.77
9:00:00,ARCT,5.16
